space_name,phase,visit_type,Event,Action,Outcome,w_card,b_card,i_card,l_card,e_card,Time,Fee,space_1,space_2,space_3,space_4,space_5,Negotiate,requires_dice_roll,path,rolls
START-QUICK-PLAY-GUIDE,SETUP,First,Congratulations! You are hired as the project manager. In this row you will learn the relevant part of the story of the particular space.,This row will summarise the actions that may need to be done to progress the game. ,And this row is items chosen by chance… but not always because you can reject lady luck and NEGOTIATE.,The scope of work is W cards. Here you learn how to add remove or change scope. Just remember 20% design fee is the max. ,You can not build if you do not have $ - Bank will lend you a little $ rather quickly and at a low rate. ,You can not build if you do not have $ - Investor will lend you a lot of $ rather slowly and at a higher rate. ,In real life shit happens all the time. In this game it only happens here. ,Once in a while you may want specialized help. It is available in this row. But will it help you or hinder you. ,Time is $ and time is always ticking here. So keep your eye out on this space. ,Of course to get things unstuck or get things done at all - you have to pay people up front. Watch this trickle so it does not become a flood. ,Lastly you may have choices of where to go next.,These are alternative paths available to you.,Some spaces offer 3-5 different next destinations.,Choose wisely as each path affects your strategy.,Some spaces require special conditions to unlock paths.,and if you really realy realy do not like your choices …. Sometimes you can refuse them and just try again.,No,none,
START-QUICK-PLAY-GUIDE,SETUP,Subsequent,Now that you read the first column and know the rules - here is your strategy guide: ,You just got hired by an owner. The 2 of you will dream up / design / review and build a project.,Strategise and pick the right dice rolls,while being aware of the 20% design fee limit.,Watch out how much you borrow ,and from whom. Bank offers quick small loans at low rates.,Beware that in the meantime life happens,so don't forget to use your Expeditor help. Investor offers large loans at higher rates but takes longer.,and try to do it as quickly as possible.,Pay attention to fees - they accumulate quickly ,and choose the most advantageous path to win.,Each space offers different movement options.,Plan your route based on your current resources.,Some paths are faster but riskier.,Others are safer but take more time.,Don't forget waiting 1 extra turn if the roll is really bad may be more advantageous.,No,none,
OWNER-SCOPE-INITIATION,SETUP,First,The owner dreams up an idea of project scope.,You as PM can review their scope and either accept it or negotiate by repeating the roll next turn. ,,,,,,Draw 3 ,1 day,,OWNER-FUND-INITIATION,,,,,YES,Yes,Main,1
OWNER-SCOPE-INITIATION,SETUP,Subsequent,You changed the owner's mind.,This roll will determine your path.,,,,,,Draw 3 ,1 day,,OWNER-FUND-INITIATION,,,,,NO,Yes,Main,1
OWNER-FUND-INITIATION,SETUP,First,Owner does some number crunching and comes up with their share of money.,You look at the scope estimates and the money owner gave you. You can take it or waste time and hope to renegotiate next turn.,Take Owner Money: $2M,Draw 1 if scope ≤ $ 4 M (fees do not matter this turn as it is owner's money),Draw 1 if scope > $ 4 M (fees do not matter this turn as it is owner's money),,,1 day,,PM-DECISION-CHECK,,,,,YES,No,Main,,
OWNER-FUND-INITIATION,SETUP,Subsequent,Owner is quite upset and comes up with a new number.,You look at the scope estimates and the money owner gave you and laugh… but leave the room. ,,,Draw 1 if scope ≤ $ 4 M (fees do not matter this turn as it is owner's money),Draw 1 if scope > $ 4 M (fees do not matter this turn as it is owner's money),,,1 day,,PM-DECISION-CHECK,,,,,NO,No,Main,
PM-DECISION-CHECK,OWNER,First,As project manager your first decision is to determine the direction of project.,You and expeditor strategize and come up with some changes. Life happens and you choose a path forward. ,,,,,Draw 1 if you roll a 1,Replace 1,5 days ,,LEND-SCOPE-CHECK,ARCH-INITIATION,CHEAT-BYPASS,,,NO,No,Special,
PM-DECISION-CHECK,OWNER,Subsequent,You are a thinker and need to reasses the situation. What will you do next?,Your staff sees an oportunity at the competition and leaves you. Meanwhile life passes you by and you finally decide what to do next.,,,,,Draw 1 if you roll a 2,The person to your right takes a card.,5 days,,LEND-SCOPE-CHECK,ARCH-INITIATION,CHEAT-BYPASS,PM-DECISION-CHECK,OWNER-DECISION-REVIEW,NO,No,Special,
LEND-SCOPE-CHECK,FUNDING,First,You need more money! - The lender reviews the business plan and negotiates scope for a better rate. ,Scope negotiations last a while as life pases you by. Your expeditor comes up with an idea and the deal is struck!,,,,,Draw 1 if you roll a 3,Draw 1,5 days,,BANK-FUND-REVIEW,INVESTOR-FUND-REVIEW,,,,YES,Yes,Side quest money,1
LEND-SCOPE-CHECK,FUNDING,Subsequent,Burning through the pile of cash is easier than you thought… Time to get som fresh dough. ,More money = more staff scope and life changes.,,,,,Draw 1 if you roll a 4,Return 1,5 days,,BANK-FUND-REVIEW,INVESTOR-FUND-REVIEW,,,,NO,Yes,Side quest money,1
BANK-FUND-REVIEW,FUNDING,First,You wait patiently as the bank underwrites to determine the loan amount and rate.,Having money will alow you to hire and and spend maybe even have a life.,,,Draw 1,,,Draw 2,1 day per $200K,1% for loan of up to $1.4M or 2% for loan between $1.5M and 2.75M or 3% above 2.75M,PM-DECISION-CHECK,,,,,YES,No,Side quest money,
BANK-FUND-REVIEW,FUNDING,Subsequent,You wait impatiently as the bank underwrites to determine the loan amount and rate.,It is late in the game - you are starting to loose credibility. Staff is leaving. Life is passing you by. ,,,Draw 1,,,Return 1,1 day per $200K,1% for loan of up to $1.4M or 2% for loan between $1.5M and 2.75M or 3% above 2.75M,PM-DECISION-CHECK,,,,,NO,No,Side quest money,
INVESTOR-FUND-REVIEW,FUNDING,First,You wait patiently as the investors determine the loan amount and rate.,Having money will alow you to hire and and spend maybe even have a life.,,,,,Draw 1 if you roll a 5,Replace 1,,5% of amount borrowed ,PM-DECISION-CHECK,,,,,YES,Yes,Side quest money,1
INVESTOR-FUND-REVIEW,FUNDING,Subsequent,You wait impatiently as the investors determine the loan amount and rate.,It is late in the game - you are starting to loose credibility. Staff is leaving. Life is passing you by. ,,,,,Draw 1 if you roll a 6,The person to your left takes a card.,,5% of amount borrowed ,PM-DECISION-CHECK,,,,,NO,Yes,Side quest money,1
ARCH-INITIATION,DESIGN,First,You are searching for the architect.,You are making phone calls and looking at qualifications… in the mean time others play…as you roll for outside influence only.,,,,,Draw 1 if you roll a 1,,5 days,,ARCH-FEE-REVIEW,,,,,No,Yes,Main,1
ARCH-INITIATION,DESIGN,Subsequent,Architect glances over files to determine if change to drawings is needed. ,As time ticks you think: Looks bad you may have to redesign again!,,,,,Draw 1 if you roll a 2,,5 days,,Outcome from rolled dice,,,,,No,Yes,Main,1
