space_name,visit_type,effect_type,effect_value,card_type,condition,use_dice,trigger_type
OWNER-SCOPE-INITIATION,First,time,1,,always,,
OWNER-SCOPE-INITIATION,First,w_cards,dice,W,always,true,
OWNER-SCOPE-INITIATION,First,e_cards,3,E,always,,
OWNER-SCOPE-INITIATION,Subsequent,time,1,,always,,
OWNER-SCOPE-INITIATION,Subsequent,w_cards,dice,W,always,true,
OWNER-SCOPE-INITIATION,Subsequent,e_cards,3,E,always,,
OWNER-FUND-INITIATION,First,time,1,,always,,
OWNER-FUND-INITIATION,First,b_cards,1,B,scope_le_4M,,
OWNER-FUND-INITIATION,First,i_cards,1,I,scope_gt_4M,,
OWNER-FUND-INITIATION,Subsequent,time,1,,always,,
OWNER-FUND-INITIATION,Subsequent,b_cards,1,B,scope_le_4M,,
OWNER-FUND-INITIATION,Subsequent,i_cards,1,I,scope_gt_4M,,
PM-DECISION-CHECK,First,time,5,,always,,
PM-DECISION-CHECK,First,l_cards,1,L,roll_1,true,manual
PM-DECISION-CHECK,First,e_cards,1,E,replace,,
PM-DECISION-CHECK,Subsequent,time,5,,always,,
PM-DECISION-CHECK,Subsequent,l_cards,1,L,roll_2,true,manual
PM-DECISION-CHECK,Subsequent,e_cards,-1,E,to_right_player,,
LEND-SCOPE-CHECK,First,time,5,,always,,
LEND-SCOPE-CHECK,First,l_cards,dice,L,always,true,manual
LEND-SCOPE-CHECK,First,e_cards,dice,E,always,true,manual
LEND-SCOPE-CHECK,Subsequent,time,5,,always,,
LEND-SCOPE-CHECK,Subsequent,l_cards,dice,L,always,true,manual
LEND-SCOPE-CHECK,Subsequent,e_cards,dice,E,always,true,manual
BANK-FUND-REVIEW,First,time,1,,per_200k,,
BANK-FUND-REVIEW,First,fee,1,,loan_up_to_1.4M,,
BANK-FUND-REVIEW,First,fee,2,,loan_1.5M_to_2.75M,,
BANK-FUND-REVIEW,First,fee,3,,loan_above_2.75M,,
BANK-FUND-REVIEW,First,b_cards,1,B,always,,
BANK-FUND-REVIEW,First,l_cards,2,L,always,,
BANK-FUND-REVIEW,Subsequent,time,1,,per_200k,,
BANK-FUND-REVIEW,Subsequent,fee,1,,loan_up_to_1.4M,,
BANK-FUND-REVIEW,Subsequent,fee,2,,loan_1.5M_to_2.75M,,
BANK-FUND-REVIEW,Subsequent,fee,3,,loan_above_2.75M,,
BANK-FUND-REVIEW,Subsequent,b_cards,1,B,always,,
BANK-FUND-REVIEW,Subsequent,l_cards,-1,L,return,,
INVESTOR-FUND-REVIEW,First,fee,5,,percent_of_borrowed,,
INVESTOR-FUND-REVIEW,First,l_cards,dice,L,always,true,manual
INVESTOR-FUND-REVIEW,First,e_cards,dice,E,always,true,manual
INVESTOR-FUND-REVIEW,Subsequent,fee,5,,percent_of_borrowed,,
INVESTOR-FUND-REVIEW,Subsequent,l_cards,dice,L,always,true,manual
INVESTOR-FUND-REVIEW,Subsequent,e_cards,dice,E,always,true,manual
